identifier,remarks,default,ru
PK_SOULKEEPER_DESC,Tarot Cards,Souls never disappear.,Души врагов никогда не исчезают.
PK_BLESSING_DESC,Tarot Cards,Increase base health to 150 and max health to 250.,Увеличивает базовое здоровье до 150 ед. и максимальное здоровье до 250 ед.
PK_REPLENISH_DESC,Tarot Cards,Receive double the ammo from ammo pickups.,В коробках вдвое больше патронов.
PK_DARKSOUL_DESC,Tarot Cards,Morph into demon at 50 souls.,Для превращения в демона достаточно 50 душ.
PK_SOULCATCHER_DESC,Tarot Cards,Attract souls and gold from a distance.,Вы притягиваете золото и души на расстоянии.
PK_FORGIVENESS_DESC,Tarot Cards,Use Golden Cards 2 times per level.,Золотые карты можно активировать дважды за уровень.
PK_GREED_DESC,Tarot Cards,Receive 2x gold.,Вы получаете вдвое больше золота.
PK_SOULREDEEMER_DESC,Tarot Cards,Souls provide more health.,Души восстанавливают больше здоровья.
PK_REGENERATION_DESC,Tarot Cards,Regenerate Health 10 sec after taking the last damage.,"Если вам 10 сек. не наносят урон, здоровье начинает восстанавливаться."
PK_HEALTHSTEALER_DESC,Tarot Cards,Receive a portion of damage dealt to enemies as health.,Часть нанесенного врагам урона восполняет ваше здоровье.
PK_HELLISHARMOR_DESC,Tarot Cards,Regenerate Armor 10 sec after taking the last damage.,"Если вам 10 сек. не наносят урон, броня начинает восстанавливаться."
PK_666AMMO_DESC,Tarot Cards,Start the map with 666 ammo of every type.,В начале уровня вы получаете 666 боеприпасов для каждого оружия.
PK_ENDURANCE_NAME,Tarot Cards,Endurance,Выносливость
PK_SPEED_NAME,Tarot Cards,Speed,Скорость
PK_TIMEBONUS_NAME,Tarot Cards,Time Bonus,Продление
PK_REBIRTH_NAME,Tarot Cards,Rebirth,Перерождение
PK_CONFUSION_NAME,Tarot Cards,Confusion,Замешательство
PK_DEXTERITY_NAME,Tarot Cards,Dexterity,Ловкость
PK_WMODIFIER_NAME,Tarot Cards,Weapon Modifier,Модификатор
PK_SOT_NAME,Tarot Cards,Steps of Thunder,Поступь Грома
PK_RAGE_NAME,Tarot Cards,Rage,Гнев
PK_MAGICGUN_NAME,Tarot Cards,Magic Gun,Волшебное Оружие
PK_IRONWILL_NAME,Tarot Cards,Iron Will,Железная Воля
PK_HASTE_NAME,Tarot Cards,Haste,Поспешность
PK_SOULKEEPER_NAME,Tarot Cards,Soul Keeper,Хранитель Душ
PK_BLESSING_NAME,Tarot Cards,Blessing,Благословение
PK_REPLENISH_NAME,Tarot Cards,Replenish,Восполнение
PK_DARKSOUL_NAME,Tarot Cards,Dark Soul,Тёмная Душа
PK_SOULCATCHER_NAME,Tarot Cards,Soul Catcher,Ловец Душ
PK_FORGIVENESS_NAME,Tarot Cards,Forgiveness,Прощение
PK_GREED_NAME,Tarot Cards,Greed,Алчность
PK_SOULREDEEMER_NAME,Tarot Cards,Soul Redeemer,Искупление Души
PK_REGENERATION_NAME,Tarot Cards,Regeneration,Регенерация
PK_HEALTHSTEALER_NAME,Tarot Cards,Health Stealer,Вампиризм
PK_HELLISHARMOR_NAME,Tarot Cards,Hellish Armor,Адская Броня
PK_666AMMO_NAME,Tarot Cards,666 Ammo,666 Патронов
PKCH_GIVEGOLD1,Cheats,Giving lots and lots of gold.,Вы получаете много-много золота.
PKCH_GIVEGOLD2,Cheats,"Glittering gold, trinkets and baubles... paid for in blood.","Блестящее золото, безделицы побрякушки... купленные кровью."
PKCH_GIVEGOLD3,Cheats,Even with all these coins the old man on the boat won't take you back.,Даже за всё это золото старик на лодке не отвезет тебя обратно.
PKCH_GIVEGOLD4,Cheats,Avarice! Definitely my favorite sin.,"Алчность! Однозначно, мой любимый грех."
PKCH_GIVEGOLD5,Cheats,Don't forget to donate to the foundation for mortally challenged!,Не забудьте пожертвовать денег фонду преодолевающих трудности перед смертью!
PKCH_TAKEGOLD1,Cheats,Let's lighten your pockets...,Облегчим-ка твои карманы...
PKCH_TAKEGOLD2,Cheats,Don't forget to save some for the ride to the other side.,Не забудь оставить немного на обратную дорогу.
PKI_SOUL,Item pickupmessages,Consumed %d health from a soul,Вы поглотили %d ОЗ из души
PKI_GOLDSOUL,Item pickupmessages,Gold soul!,Золотая душа!
PKI_MEGASOUL,Item pickupmessages,Mega soul!,Огромная душа!
PKI_WMODIFIER,Item pickupmessages,Weapon Modifier!,Модификатор оружия!
PKI_DEMONEYES,Item pickupmessages,Fear Vision!,Глаза страха!
PKI_ARMOR1,Item pickupmessages,Bronze armor,Бронзовый доспех
PKI_ARMOR2,Item pickupmessages,Silver armor,Серебряный доспех
PKI_ARMOR3,Item pickupmessages,Gold armor,Золотой доспех
PKI_AMMOPACK,Item pickupmessages,Ammo pack!,Ящик патронов!
PKI_ALLMAP,Item pickupmessages,Gained full map of the level,Вы получили полную карту уровня
PKI_ANTIRAD,Item pickupmessages,Protection Suit!,Защитный костюм!
PKI_CHESTOFSOULS,Item pickupmessages,A Chest of Souls,Сундук с душами
PKI_SHELLS,Item pickupmessages,Picked up Shotgun Shells,Вы подобрали патроны для дробовика
PKI_FREEZEAMMO,Item pickupmessages,Picked up Freezer Ammo,Вы подобрали боеприпасы для охладителя
PKI_STAKEAMMO,Item pickupmessages,Picked up Stakes,Вы подобрали колья
PKI_GRENADEAMMO,Item pickupmessages,Picked up Grenades,Вы подобрали гранаты
PKI_MINIGUNAMMO,Item pickupmessages,Picked up Chaingun Bullets,Вы подобрали патроны для пулемёта
PKI_STARAMMO,Item pickupmessages,Picked up Shurikens,Вы подобрали сюрикэны
PKI_ELECTROAMMO,Item pickupmessages,Picked up a Cell Battery,Вы подобрали аккумулятор
PKI_RIFLEAMMO,Item pickupmessages,Picked up Assault Rifle Ammo,Вы подобрали патроны для автомата
PKI_FUELAMMO,Item pickupmessages,Picked up Flamethrower Fuel,Вы подобрали топливо для огнемёта
PKI_BOLTAMMO,Item pickupmessages,Picked up Steel Bolts,Вы подобрали стальные болты
PKI_HEATERAMMO,Item pickupmessages,Picked up Heater Bombs,Вы подобрали шаровые бомбы
PKI_PAINKILLER,Item pickupmessages,Picked up Pain/Killer,Вы подобрали Pain/Killer
PKI_SHOTGUN,Item pickupmessages,Picked up Shotgun/Freezer,Вы подобрали дробовик/охладитель
PKI_STAKEGUN,Item pickupmessages,Picked up Stakegun/Grenade Launcher,Вы подобрали коломёт/гранатомёт
PKI_CHAINGUN,Item pickupmessages,Picked up Rocket Launcher/Chaingun,Вы подобрали ракетницу/пулемёт
PKI_ELECTRODRIVER,Item pickupmessages,Picked up Electro/Driver,Вы подобрали электро/привод
PKI_BOLTGUN,Item pickupmessages,Picked up Boltgun/Heater,Вы подобрали болтомёт/шаромёт
PKI_RIFLE,Item pickupmessages,Picked up Assault Rifle/Flamethrower,Вы подобрали автомат/огнемёт
PK_PAINKILLER_TAG,Weapon names,Pain/Killer,Pain/Killer
PK_SHOTGUN_TAG,Weapon names,Shotgun/Freezer,Дробовик/охладитель
PK_STAKEGUN_TAG,Weapon names,Stakegun/Grenade Launcher,Коломёт/гранатомёт
PK_CHAINGUN_TAG,Weapon names,Rocket Launcher/Chaingun,Ракетница/пулемёт
PK_ELECTRODRIVER_TAG,Weapon names,Electro/Driver,Электро/привод
PK_RIFLE_TAG,Weapon names,Assault Rifle/Flamethrower,Автомат/огнемёт
PK_BOLTGUN_TAG,Weapon names,Boltgun/Heater,Болтомёт/шаромёт
PK_PAINKILLER_SLOT,Weapon modes for menu,Pain / Killer,Pain / Killer
PK_SHOTGUN_SLOT,Weapon modes for menu,Shotgun / Freezer,Дробовик / охладитель
PK_STAKEGUN_SLOT,Weapon modes for menu,Stakegun / G. Launcher,Коломёт / гранатомёт
PK_CHAINGUN_SLOT,Weapon modes for menu,R. Launcher / Chaingun,Ракетница / пулемёт
PK_ELECTRODRIVER_SLOT,Weapon modes for menu,Driver / Electro,Привод / электро
PK_RIFLE_SLOT,Weapon modes for menu,Assault Rifle / Flamethrower,Автомат / огнемёт
PK_BOLTGUN_SLOT,Weapon modes for menu,Boltgun / Heater,Болтомёт / шаромёт
PK_PAINKILLER_ISLOT,Switched weapon modes for menu,Killer / Pain,Killer / Pain
PK_SHOTGUN_ISLOT,Switched weapon modes for menu,Freezer / Shotgun,Охладитель / дробовик
PK_STAKEGUN_ISLOT,Switched weapon modes for menu,G. Launcher / Stakegun,Гранатомёт / коломёт
PK_CHAINGUN_ISLOT,Switched weapon modes for menu,Chaingun / R. Launcher,Пулемёт / ракетница
PK_ELECTRODRIVER_ISLOT,Switched weapon modes for menu,Electro / Driver,Электро / привод
PK_RIFLE_ISLOT,Switched weapon modes for menu,Flamethrower / Assault Rifle,Огнемёт / автомат
PK_BOLTGUN_ISLOT,Switched weapon modes for menu,Heater / Boltgun,Шаромёт / болтомёт
PKO_PAIN,Obituaries,%o was ripped apart with %k's Pain,%k разрывает игрока %o на части с помощью Pain
PKO_KILLER,Obituaries,%o couldn't dodge %k's Killer,Игроку %o не удалось увернуться от Killer игрока %k
PKO_KILLERBEAM,Obituaries,%o was slowly burnt by %k's Killer Beam,%k медленно сжигает игрока %o лучом Killer
PKO_PAINKILLER,Obituaries,%k ripped %o to shreds with Painkiller,%k разрывает игрока %o на части с помощью Painkiller
PKO_SHOTGUN,Obituaries,%o was blown away by %k's shotgun,%k отбрасывает игрока %o дробовиком
PKO_STAKE,Obituaries,%k pinned %o to the wall,%k пригвождает игрока %o к стене
PKO_EXSTAKE,Obituaries,%k managed to hit %o with a grenade-on-a-stick,%k попадает в игрока %o гранатой на палке
PKO_GRENADE,Obituaries,%o stood too close to %k's grenade,%o не успевает отойти от гранаты игрока %k
PKO_CHAINGUN,Obituaries,%k mowed %o down with a minigun,%k прошивает игрока %o пулемётным огнем
PKO_ROCKET,Obituaries,%o was blown up by %k's rockets,%o подрывается на ракетах игрока %k
PKO_ELECTRO,Obituaries,%o was electrocuted by %k,%k убивает игрока %o током
PKO_DRIVER,Obituaries,%o was pinned by %k's shurikens,%k пригвождает игрока %o сюрикэнами
PKO_ELECTRODRIVER,Obituaries,%o was shocked do death by %k's electric disc,"%o погибает от электродиска, запущенного игроком %k"
PKO_RIFLE,Obituaries,%k perforated %o with an assault rifle,%k расстреливает игрока %o автоматом
PKO_FLAME,Obituaries,%k burnt %o to a crisp,%k сжигает игрока %o
PKO_FLAMETANK,Obituaries,%k killed %o with a fiery explosion,%k убивает игрока %o пламенным взрывом
PKO_EXBOLT,Obituaries,%k managed to hit %o with a bomb-on-a-stick,%k попадает в игрока %o бомбой на палке
PKO_BOLT,Obituaries,%k pinned %o to the wall multiple times,%k многократно пригвождает игрока %o к стене
PKO_DEMON,Obituaries,%k killed %o as a DEMON,%k убивает игрока %o в обличье ДЕМОНА
PKO_SOT,Obituaries,%o was killed by %k's thunderous steps,%o погибает от громовой поступи игрока %k
PKC_NOTBOUND,Codex,not bound,не назначено
PKC_WEAPONS,Codex,WEAPONS,ОРУЖИЕ
PKC_POWERUPS,Codex,ITEMS,ПРЕДМЕТЫ
PKC_TAROT,Codex,TAROT,КАРТЫ ТАРО
PKC_WM_On,Codex,Showing Weapon Modifier stats,Показаны эффекты модификатора оружия
PKC_WM_Off,Codex,Showing standard weapon stats,Показаны стандартные значения
PKC_Hold,Codex,Hold,Зажать
PKC_Tap,Codex,Tap,Нажать
PKC_then,Codex,then,затем
PKC_Primary,Codex,Primary,Атака 1
PKC_Secondary,Codex,Secondary,Атака 2
PKC_Pain,Codex,Pain,Pain
PKC_PainDesc,Codex,Deal continuous damage with the spinning blades.,Наносит непрерывный урон вращающимися клинками.
PKC_PainDescWM,Codex,"Weapon Modifier effects: Blades spin faster, dealing more damage per second.","С модификатором оружия: клинки вращаются быстрее, нанося больше урона."
PKC_Killer,Codex,Killer,Killer
PKC_KillerDesc,Codex,"Fire the folded blade unit. The unit can stick into walls and creates a laser beam that burns enemies when you aim at it.
NOTE: This attack can juggle corpses.","Выстреливает блоком клинков, который может воткнуться во врага или стену. Нацельтесь на блок, чтобы выпустить лазерный луч. Позволяет притягивать трупы."
PKC_KillerDescWM,Codex,"Weapon Modifier effects: Laser beam is always active, regardless of where you're aiming.","С модификатором оружия: лазерный луч активен всегда, куда бы вы ни целились."
PKC_Painkiller,Codex,Painkiller,Painkiller
PKC_PainkillerDesc,Codex,Fire the spinning blades forward. This projectile is slow but deals a lot of damage on impact.,"Выстреливает блоком вращающихся клинков, создавая медленный, но смертоносный снаряд."
PKC_Shotgun,Codex,Shotgun,Дробовик
PKC_ShotgunDesc,Codex,A fast-firing shotgun with decent damage and spread.,Скорострельный дробовик с хорошими уроном и кучностью.
PKC_ShotgunDescWM,Codex,"Weapon Modifier effects: Shotgun spread tightens, and pellets deal slightly more damage.","С модификатором оружия: разброс снижается, а урон немного повышается."
PKC_Freezer,Codex,Freezer,Охладитель
PKC_FreezerDesc,Codex,"Fire two projectiles that freeze enemies on impact. Frozen enemies receive more damage, especially from the shotgun. Does not work on bosses.","Выпускает два снаряда, замораживающих врагов. Замороженные враги получают больше урона, особенно от дробовика. Не действует на боссов."
PKC_FreezerDescWM,Codex,Weapon Modifier effects: Freeze duration is doubled.,С модификатором оружия: продолжительность заморозки удваивается.
PKC_ShotgunFreezer,Codex,Shatter,Осколки
PKC_ShotgunFreezerDesc,Codex,"Fire freezer, then immediately fire shotgun to deal a lot of extra damage. Shatters weaker enemies.","Выстрелите охладителем, а затем сразу дробовиком, чтобы нанести дополнительный урон. Слабые враги разбиваются на осколки."
PKC_Stakegun,Codex,Stakegun,Коломёт
PKC_StakegunDesc,Codex,Fire a powerful projectile that can pin enemies to walls. After 0.34 seconds in flight stakes catch on fire. Burning stakes deal more damage.,"Выпускает мощный снаряд, который может пригвоздить врага к стене. 0,34 сек. спустя летящий кол загорается, а урон от него возрастает."
PKC_StakegunDescWM,Codex,Weapon Modifier effects: Stakes are set on fire immediately and fly in a straight line at an increased speed.,С модификатором оружия: колья загораются в момент выстрела и летят по прямой линии с повышенной скоростью.
PKC_Grenade,Codex,Grenade Launcher,Гранатомёт
PKC_GrenadeDesc,Codex,Fire a bouncing grenade that explodes after a period of time or when hitting an enemy. Shares ammo with the Rocket Launcher.,"Выпускает отскакивающий снаряд, который взрывается через некоторое время или при попадании во врага. Использует те же патроны, что и ракетница."
PKC_GrenadeDescWM,Codex,"Weapon Modifier effects: Grenades spawn flames upon exploding, setting enemies on fire.",С модификатором оружия: при взрыве гранаты выпускают во все стороны огонь.
PKC_StakeGrenade,Codex,Makeshift Rocket,Граната на палке
PKC_StakeGrenadeDesc,Codex,"Launch a grenade, then fire a stake at it to create a powerful makeshift rocket. Deals more damage than Rocket Launcher rockets.","Выпустите гранату, затем выстрелите в нее колом, чтобы создать подобие ракеты. Этот снаряд наносит больше урона, чем снаряды ракетницы."
PKC_RLauncher,Codex,Rocket Launcher,Ракетница
PKC_RLauncherDesc,Codex,Fire a rocket. Don't stand too close! Shares ammo with the Grenade Launcher.,"Стреляет ракетами. Не стойте слишком близко! Использует те же патроны, что и гранатомёт."
PKC_RLauncherDescWM,Codex,"Weapon Modifier effects: Rockets spawn flames upon exploding, setting enemies on fire.",С модификатором оружия: при взрыве ракеты выпускают во все стороны огонь.
PKC_Chaingun,Codex,Minigun,Пулемёт
PKC_ChaingunDesc,Codex,"Rapid-fire minigun. Needs some time to spin up before it can start firing.
Note: The gun's spread will increase as you keep firing.","Скорострельный пулемёт. Перед началом стрельбы ему нужно раскрутиться.
Примечание: разброс возрастает, пока вы продолжаете стрелять."
PKC_ChaingunDescWM,Codex,"Weapon Modifier effects: Minigun spread is significantly reduced, and damage is slightly increased.","С модификатором оружия: разброс пулемёта существенно снижается, а урон немного возрастает."
PKC_Driver,Codex,Driver,Привод
PKC_DriverDesc,Codex,Fire shurikens at high speed. After 0.5 seconds in flight shurikens explode: catch enemies in the explosion for a lot of extra damage.,"Быстро стреляет сюрикэнами. Через 0,5 сек. полета сюрикэны взрываются: если удастся зацепить взрывом врага, тот получит большой урон."
PKC_DriverDescWM,Codex,"Weapon Modifier effects: Explosion damage is reduced, but shurikens always explode on impact.","С модификатором оружия: сила взрыва уменьшается, но сюрикэны взрываются при попадании."
PKC_Electro,Codex,Electro,Электро
PKC_ElectroDesc,Codex,Fire a continuous stream of electricity that latches onto the closest target within a small radius around your crosshair. Effective at stunlocking.,"Выпускает постоянный электрический разряд, который наводится на врага в небольшом радиусе вокруг перекрестия прицела."
PKC_ElectroDescWM,Codex,"Weapon Modifier effects: Upon hitting an enemy, the lightning jumps to other enemies around it.",С модификатором оружия: при попадании во врага разряд перескакивает на других врагов вокруг него.
PKC_ElectroDisc,Codex,Electric Disc,Электродиск
PKC_ElectroDiscDesc,Codex,"Fire an electrically charged container of shurikens. It sticks into enemies and walls, then starts firing electric bolts at surrounding enemies before exploding after a while.","Выпускает заряженный диск с сюрикэнами. Он втыкается во врага или стену, затем начинает стрелять разрядами в окружающих врагов, а через некоторое время взрывается."
PKC_Rifle,Codex,Rifle,Автомат
PKC_RifleDesc,Codex,Fire the Rifle in bursts of up to 7 successive shots. Deals significant damage and has tight spread.,Стреляет очередями до 7 выстрелов. Отличается хорошим уроном и кучностью.
PKC_RifleDescWM,Codex,Weapon Modifier effects: The rifle fires in full auto and deals more damage.,С модификатором оружия: автомат стреляет в полностью автоматическом режиме и наносит больше урона.
PKC_Flamer,Codex,Flamethrower,Огнемёт
PKC_FlamerDesc,Codex,"Fire flamethrower. Sets enemies on fire, dealing damage over time. Flames can fly through enemies, but gradually slow down, resulting in limited range.","Выпускает струю огня, поджигающую врагов, нанося периодический урон. Огонь проходит сквозь врагов, но быстро теряет скорость."
PKC_FlamerDescWM,Codex,"Weapon Modifier effects: The flames fly faster, increasing the flamethrower's effective range.","С модификатором оружия: огонь летит с большей скоростью, повышая эффективную дистанцию."
PKC_FlameTank,Codex,Fuel tank,Выстрел баком
PKC_FlameTankDesc,Codex,"Launch the whole fuel tank. The tank explodes when shot, or upon impact with an enemy, or after a short while. Burns surrounding enemies upon exploding.","Выпускает топливный бак. Тот взрывается при попадании во врага, либо через некоторое время, либо если по нему выстрелить. Поджигает врагов при взрыве."
PKC_Boltgun,Codex,Boltgun,Болтомёт
PKC_BoltgunDesc,Codex,Fire 5 steel bolts in quick succession. Bolts fly in a straight line and can pin enemies to walls.,Быстро выпускает 5 стальных болтов. Болты летят по прямой и могут пригвоздить врагов к стене.
PKC_BoltgunDescWM,Codex,"Weapon Modifier effects: Bolts are set on fire, dealing more damage.","С модификатором оружия: болты горят, нанося больше урона при попадании."
PKC_BoltgunNote,Codex,Press Zoom (%s) to activate sniper scope.,"Нажмите \""Приближение\"" (%s), чтобы активировать оптический прицел."
PKC_Heater,Codex,Heater,Шаромёт
PKC_HeaterDesc,Codex,"Fire 10 bouncing bombs that explode when impacting enemies, or bounce off a surface twice and then explode on the 3rd impact.","Выпускает 10 бомб, которые отскакивают от поверхности дважды, а при третьем столкновении взрываются. При попадании во врагов взрываются сразу."
PKC_HeaterDescWM,Codex,Weapon Modifier effects: Bombs are launched further and explode on impact without bouncing.,"С модификатором оружия: бомбы летят дальше и взрываются при столкновении с чем угодно, не отскакивая."
PKC_HeaterBolts,Codex,Heater Rockets,Шароболты
PKC_HeaterBoltsDesc,Codex,"Fire bombs, then try to hit them with bolts to create makeshift heater rockets. They deal a lot of damage, but this attack is difficult to pull off.","Выпустите бомбы, затем выстрелите в них болтами, чтобы насадить на них бомбы и получить подобие ракет. Они наносят большой урон, но выполнить эту атаку сложно."
PKC_Gold,Codex,Gold,Золото
PKC_Souls,Codex,Enemy souls,Души врагов
PKC_ChestOfSouls,Codex,Chest of Souls,Сундук с душами
PKC_GoldSoul,Codex,Gold Soul,Золотая душа
PKC_MegaSoul,Codex,Mega Soul,Огромная душа
PKC_Armor,Codex,Armor,Доспехи
PKC_AmmoPack,Codex,Ammo Pack,Ящик патронов
PKC_WeaponModifier,Codex,Weapon Modifier,Модификатор оружия
PKC_DemonEyes,Codex,Demon Eyes,Глаза Демона
PKC_Pentagram,Codex,Pentagram,Пентаграмма
PKC_Antirad,Codex,Protection Suit,Защитный костюм
PKC_CrystalBall,Codex,Crystal Ball,Хрустальный шар
PKC_Souls_Desc,Codex,"Killed enemies quickly disintegrate and drop their souls. They have two uses:
- Souls are your primary way to heal, since there are no medkits in Painslayer.
- Upon collecting 66 souls you will turn into a demon. 

\cQHEALING\c[PKWhiteText]: One soul can give you \cQbetween 1 and 20 HP\c[PKWhiteText], depending on how much health the enemy originally had. If a soul contains \cR15 or more HP, it turns red\c[PKWhiteText]. 

\c[PKRedText]DEMON MODE\c[PKWhiteText]: When you collect \c[PKRedText]66 souls\c[PKWhiteText] you'll turn into a \c[PKRedText]Demon\c[PKWhiteText]. As a Demon you are completely invincible and you gain a unique devastating attack.
- When you are 2 or 1 souls away from becoming a Demon, your screen will briefly flash in demon vision.
- Equipping the \cZDark Soul\c[PKWhiteText] Black Tarot card reduces the required number of souls from 66 to 50. 

Note: Enemies don't drop souls on \c[PKGreenText]Trauma difficulty mode\c[PKWhiteText].","Убитые враги быстро исчезают, оставляя после себя души. У душ есть два применения:
- Это главный способ лечиться, поскольку в Painslayer нет аптечек.
- Собрав 66 душ, вы превратитесь в демона.

\cQИСЦЕЛЕНИЕ\c[PKWhiteText]. Подняв душу, вы восстановите \cQот 1 до 20 ОЗ\c[PKWhiteText], в зависимости от того, сколько здоровья было у убитого врага. Если в душе \cR15 ОЗ или больше, она будет красного цвета\c[PKWhiteText].

\c[PKRedText]РЕЖИМ ДЕМОНА\c[PKWhiteText]. Собрав \c[PKRedText]66 душ\c[PKWhiteText], вы превратитесь в \c[PKRedText]демона\c[PKWhiteText]. Став демоном, вы получаете полную неуязвимость и уникальную разрушительную атаку.
- Когда вам осталось 2 или 1 душа до превращения, экран кратковременно вспыхнет, сигнализируя о скорой трансформации.
- Карта Таро \cZТёмная Душа\c[PKWhiteText] снижает требуемое число душ с 66 до 50.

Примечание: враги не оставляют после себя души \c[PKGreenText]на уровне сложности Травма\c[PKWhiteText]."
PKC_ChestOfSouls_Desc,Codex,"Chest of Souls has two effects: 

- After picking it up you'll \cQregenerate 1 HP every second\c[PKWhiteText] over 20 seconds.
- Your \c[PKRedText]soul counter will immediately increase by 20\c[PKWhiteText]. As such, collecting Chests of Souls is a very quick way to turn into a \c[PKRedText]Demon\c[PKWhiteText].","Сундук с душами имеет два эффекта:

- Подняв его, вы будете \cQвосстанавливать 1 ОЗ в секунду\c[PKWhiteText] в течение 20 сек.
- Ваш \c[PKRedText]счетчик душ немедленно возрастет на 20\c[PKWhiteText]. Таким образом, сундуки с душами позволяют быстро трансформироваться в \c[PKRedText]демона\c[PKWhiteText]."
